得意先[    100]-[ 200000] ＊＊ 得意先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/22(13:51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
得意先CD,得意先名ｶﾅ,得意先名,得意先(略),郵便番号,住所1,住所2,E-mail,備考,電話番号,FAX番号,担当者CD,担当者名,請求先CD,売上区分,税区分(売掛),税端数(売掛),税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,合計請求書,請求明細書,入金予定日,入金方法,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数,登録日,最終更新日
101,アケボノソウサイ,有限会社　あけぼの葬祭,有限会社 あけぼの葬,893-0015,鹿屋市新川町891-2,,,,,,10,岩川,101,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2017/1/31,2024/1/24
102,ソウゴウソウサイアリゾノ,有限会社　総合葬祭有園,有限会社　総合葬祭有,899-8102,曽於市大隅町下窪町152,,,,,,10,岩川,102,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/23,2024/1/24
109,イケダダイブツドウ,株式会社　池田大仏堂,株式会社　池田大仏堂,893-0012,鹿屋市王子町3967-7,,,,,,10,岩川,109,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/1/24
111,イマフクソウサイコウゲシャ,今福葬祭香華社,今福葬祭香華社,899-7302,曽於郡大崎町神領1134-1,,,,,,10,岩川,111,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/23,2024/1/24
116,ウチノウラソウサイ,有限会社　内之浦葬祭,有限会社　内之浦葬祭,893-1402,肝属郡肝付町南方295-7,,,,,,10,岩川,116,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/1/24
127,オオスミソウギシャ鹿屋,有限会社　大隅葬儀社,有限会社　大隅葬儀社,893-0064,鹿屋市西原4-15-12,,,,,,10,岩川,127,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/9/5
128,オオスミソウギシャ垂水,株式会社　大隅葬儀社(斎場垂水会館),株式会社 大隅葬儀社(,891-2125,鹿児島県垂水市旭町90番地,,,,,,10,岩川,128,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2016/5/11,2024/9/5
132,カミムラ,株式会社　ＫＡＭＩＭＵＲＡ,株式会社　ＫＡＭＩＭ,893-0022,鹿屋市旭原町3589-4,,,,,,10,岩川,132,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/23,2024/9/5
133,カンダソウサイ,有限会社　神田葬祭,有限会社　神田葬祭,893-1101,鹿屋市吾平町上名7716-1,,,,,,10,岩川,133,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/9/5
134,カミムラ（ハツボン,株式会社ＫＡＭＩＭＵＲＡ（初盆御返礼品）,株式会社ＫＡＭＩＭＵ,893-0022,鹿屋市旭原町3589-4,,,,,,10,岩川,134,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2003/8/10,2024/9/5
138,キヨミズソウサイ,きよみず葬祭,きよみず葬祭,893-1611,肝属郡東串良町岩弘2800,,,,,,10,岩川,138,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/9/5
139,キモツキソウサイ,肝属葬祭（天水院）,肝属葬祭（天水院）,893-1613,肝属郡東串良町川西1547,,,,,,10,岩川,139,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/7/17,2024/12/20
140,コスモカイカンメモリードホールミナミオ,こすも会館　メモリードホール南尾,こすも会館　メモリー,820-0082,福岡県飯塚市若菜105,,,2020/3/18より社名変更,0948－23-3345,0948-23-3346,10,岩川,140,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2009/5/24,2023/10/2
142,ﾕｳｹﾞﾝｶｲｼｬ ｸｼﾏｿｳ,有限会社　串間葬祭,有限会社 串間葬祭,,,,,,,,10,岩川,142,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2017/1/31,2024/12/11
143,クシラソウサイ,株式会社　串良葬祭,株式会社　串良葬祭,893-1605,鹿屋市串良町上小原3093-2,,,,0994-63-4337,0994-63-9696,10,岩川,143,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2017/1/25,2025/3/12
150,JAアオゾラソウサイ　ルミエールアリアケ,ＪＡあおぞら葬祭ルミエール有明,JA葬祭 ﾙﾐｴｰﾙ有明,899-7402,志布志市有明町野井倉1373-1,,,,,,10,岩川,150,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2003/2/4,2024/9/5
153,JAソオカゴシマソウサイセンター,ＪＡそお鹿児島葬祭センター,JAそお鹿児島葬祭ｾﾝﾀｰ,899-8212,曽於市大隅町月野1973-1,,,,,,10,岩川,153,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/23,2024/9/5
169,テンチドウ（カワマタ）,天地堂（川又）,天地堂(川又),888-0001,串間市西方2585-1,,,,,,10,岩川,169,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/9/5
170,テンチドウソウサイ（タケイ）,天地堂葬祭,天地堂葬祭(竹井),893-0023,鹿屋市笠之原町2544-3,,,旧　893-0014   鹿屋市寿4-15-4,0994-43-6942,0994-43-6994,10,岩川,170,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2025/2/11
175,ナカムラソウサイ,有限会社　中村葬祭,有限会社　中村葬祭,893-1614,肝属郡東串良町新川西3513,,,,,,10,岩川,175,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/9/5
176,ナガヨシセキザイコウギョウ,有限会社　永吉石材工業　葬祭部,有限会社　永吉石材工,893-1615,肝属郡東串良町川東４２２６番地,,,,,,10,岩川,176,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/9/5
182,ニシヤマソウサイ,西山葬祭,西山葬祭,893-0064,鹿屋市西原2丁目32-27,,,,0994-40-4242,0994-40-4190,10,岩川,182,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/23,2024/9/5
197,ユウミチ,有限会社　みち葬祭センタ－(白崎),有限会社　みち葬祭セ,893-0016,鹿屋市白崎町17-51,,,,0994-42-3536,,10,岩川,197,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,2 小切手,1 個別単価,,,2,2000/5/23,2024/9/5
