商品[       150101]-[      6000183] ＊＊ 商品ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/04/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品CD,商品名ｶﾅ,商品名,商品名(略),商品名入力,相手先商品番号,JANｺｰﾄﾞ,大分類,中分類,課税区分,在庫管理,入荷残管理,売上残管理,入数,単位,標準在庫数,標準原価,定価,登録日,最終更新日,経理ｺｰﾄﾞ,科目名,仕入先ｺｰﾄﾞ,仕入先名,備考,仕様,種別コード,種別名,管理部署コード,管理部署名,棚番,品　名,軽減税率区分,平均売値,単重,分類１CD,分類１名,分類２CD,分類２名,分類３CD,分類３名,分類４CD,分類４名
150101,チョクバイ,煎茶R03-A,煎茶15-1,入力する,箱13002,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,239.95,900,2000/6/2,2024/12/7,     ,,       ,,直売用,緑(薫)50g、箱13002,1,製品,1,卸課,1-1-3-3,直売用会葬品,1 軽減税率,,,,,,,,,,
150110,ｾﾝﾁｬ C-15,煎茶　Ｃ-15,煎茶 C-15,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,305.16,1500,2007/8/22,2025/1/25,     ,,       ,,,,   ,,   ,,,,0 通常,,,,,,,,,,
150111,MR-S01,MR-S01,煎茶W5-A(即日返し),入力する,MR-TW01,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,190,250,2008/11/27,2024/11/16,4203,その他仕入,1113,㈱CSJ,商品変更したがCodeSpaces内商品名はそのまま,ブシュロン/MR-S01(W5-A),3,原材料,1,卸課,16,フｪイスタオル1P,0 通常,,,,,,,,,,
150209,カイソウヒン１７,煎茶R01-B,煎茶R01-B,入力する,箱13002,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,273.15,1000,2016/12/11,2024/11/16,     ,,       ,,直売用,緑茶伝説(薫)/60g、箱13002,1,製品,1,卸課,,直売用会葬品,1 軽減税率,,,,,,,,,,
150310,RC-AF01,RC-AF01,RC-AF01,入力する,RC-AF01,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,280,700,2019/5/25,2024/11/16,4203,その他仕入,1113,㈱CSJ,,ブシュロン/RC-AF01,3,原材料,1,卸課,,ロベルタフェイスタオル1P,0 通常,,,,,,,,,,
150534,チョクバイ,煎茶R02-C,煎茶R02-C,入力する,,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,551.18,,2017/2/6,2024/11/13,     ,,       ,,,緑茶伝説(薫)80g、あらびき2g/10、箱(小)2仕切り,7,セット商品,1,卸課,,会葬品(直売用),1 軽減税率,,,,,,,,,,
150541,AN-T1W,AN-T1W,AN-T1W,入力する,AN-T1W,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,350,500,2018/5/30,2024/11/13,4203,その他仕入,1113,㈱CSJ,2019/7/31商品名変更(包装紙変更),ブシュロン/AN-T1W,3,原材料,1,卸課,,今治タオル　フェイス1P,0 通常,,,,,,,,,,
150922,AN-T212,AN-T212,AN-T212,入力する,AN-T212,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,525,1500,2018/5/30,2024/11/13,4203,その他仕入,1113,㈱CSJ,,ブシュロン/AN-T212,3,原材料,1,卸課,,今治タオルセット(F1/W1),0 通常,,,,,,,,,,
150923,T1-15,T1-15,T1-15,入力する,AN-S03,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,525,,2018/10/29,2024/11/13,4203,その他仕入,1113,㈱CSJ,,ブシュロン/T1-15　AN-S03,3,原材料,1,卸課,,今治タオル入浴剤石鹸セット,0 通常,,,,,,,,,,
150926,T3-15,T3-15,T3-15,入力する,AN-S01,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,525,,2020/1/6,2024/11/13,4203,その他仕入,1113,㈱CSJ,,ブシュロン/T3-15　AN-S01,3,原材料,1,卸課,,今治タオル入浴剤石鹸セット,0 通常,,,,,,,,,,
151094,AN-T4W,AN-T4W,AN-T4W,入力する,AN-T4W,, 15 仏事,  2 その他,1 外税,管理する,管理する,管理する,,,,800,1000,2018/2/4,2024/11/13,4203,その他仕入,1113,㈱CSJ,H29年12月より入荷,ブシュロン/AN-T4W,3,原材料,1,卸課,,今治バスタオルセット(B1/M1),0 通常,,,,,,,,,,
151110,ﾄﾜｵﾓｲｾﾝﾁｬ40g,(とわおもい)煎茶 40g,(とわおもい)煎茶 40g,入力する,74,, 15 仏事,  1 お茶,1 外税,管理する,管理する,管理する,,,,77.78,149,2013/11/19,2024/11/13,     ,,       ,,,40g、(袋:5382),1,製品,1,卸課,棚番号なし,仏煎茶、とわおもい,1 軽減税率,,,1,リーフ,1,煎茶,5,慣行品(上記以外),,
