仕入先[   1010]-[ 100000] ＊＊ 仕入先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仕入先CD,仕入先名ｶﾅ,仕入先名,仕入先(略),郵便番号,住所1,住所2,E-mail,URL,電話番号,FAX番号,担当者CD,担当者名,支払先CD,税区分(買掛),税端数(買掛),仕入区分,税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,支払明細書,支払予定日,支払区分,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数区分,登録日,最終更新日
1010,セイワ,㈱清和,㈱清和,815-0082,福岡市南区大楠1-22-22,,,,0120-296110,0120-296119,1,堀口(崇),1010,2 伝票単位,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,1ヶ月後25日払,3 振込,1 個別単価,,,1,2000/5/27,2024/11/12
1011,イシカワシコウ,石川紙工㈱,石川紙工㈱,799-0704,愛媛県四国中央市土居町津根3630,,,,0896-74-8080,0896-74-8060,1,堀口(崇),1011,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,20,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,2,2000/8/21,2024/11/12
1012,オオノセキユテ,大野石油店,大野石油店,899-7503,鹿児島県志布志市有明町蓬原908,,,,0994-75-0041,,1,堀口(崇),1012,4 無処理,2 切り捨て,1 買,4 無処理,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,2,2000/8/21,2024/11/12
1013,キョウドウシコ,協同紙工㈱,協同紙工㈱,880-1195,宮崎県東諸県郡国富町大字塚原,　　　　　　　　　　500番地,,,099-472-4432,099-472-4697,1,堀口(崇),1013,1 締時一括,2 切り捨て,1 買,3 明細単位,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,2,2000/8/21,2024/11/12
1015,カゴシマヨウザ,鹿児島熔材㈱,鹿児島熔材㈱,890-0056,鹿児島市下荒田3-17-27,,,,099-258-4031,099-258-4035,1,堀口(崇),1015,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1016,マルキュウコヤ,㈱丸久小山園,㈱丸久小山園,611-0042,京都府宇治市小倉町寺内86番地,,,,0774-21-3151,0774-28-2288,1,堀口(崇),1016,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1019,タマヤ,㈱タマヤ,㈱タマヤ,601-8111,京都市南区上鳥羽苗代町23-2,,,,075-692-2251,075-692-2230,1,堀口(崇),1019,1 締時一括,2 切り捨て,1 買,2 伝票単位,2 切り捨て,20,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,2,2000/8/21,2024/11/12
1020,ニシヒラセキユ,西平石油㈲,西平石油㈲,899-7402,志布志市有明町野井倉8142,,,,099-477-0306,099-477-1570,1,堀口(崇),1020,1 締時一括,3 切り上げ,1 買,2 伝票単位,2 切り捨て,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1021,フチガミインサ,渕上印刷㈱,渕上印刷㈱,891-0122,鹿児島県鹿児島市南栄3-1-6,,,,099-268-1002,099-266-3423,1,堀口(崇),1021,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,1,2000/8/21,2024/11/12
1022,カゴシマホリグ,鹿児島堀口製茶㈲,鹿児島堀口製茶㈲,899-7503,志布志市有明町蓬原758番地,,,,0994-75-0931,0994-75-1976,1,堀口(崇),1022,4 無処理,1 四捨五入,1 買,4 無処理,1 四捨五入,31,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,2,2000/8/21,2024/11/12
